,movieid,moviename,genres
0,19995,Avatar,28
1,19995,Avatar,12
2,19995,Avatar,14
3,19995,Avatar,878
4,285,Pirates of the Caribbean: At World's End,12
5,285,Pirates of the Caribbean: At World's End,14
6,285,Pirates of the Caribbean: At World's End,28
7,206647,Spectre,28
8,206647,Spectre,12
9,206647,Spectre,80
10,49026,The Dark Knight Rises,28
11,49026,The Dark Knight Rises,80
12,49026,The Dark Knight Rises,18
13,49026,The Dark Knight Rises,53
14,49529,John Carter,28
15,49529,John Carter,12
16,49529,John Carter,878
17,559,Spider-Man 3,14
18,559,Spider-Man 3,28
19,559,Spider-Man 3,12
20,38757,Tangled,16
21,38757,Tangled,10751
22,99861,Avengers: Age of Ultron,28
23,99861,Avengers: Age of Ultron,12
24,99861,Avengers: Age of Ultron,878
25,767,Harry Potter and the Half-Blood Prince,12
26,767,Harry Potter and the Half-Blood Prince,14
27,767,Harry Potter and the Half-Blood Prince,10751
28,209112,Batman v Superman: Dawn of Justice,28
29,209112,Batman v Superman: Dawn of Justice,12
30,209112,Batman v Superman: Dawn of Justice,14
31,1452,Superman Returns,12
32,1452,Superman Returns,14
33,1452,Superman Returns,28
34,1452,Superman Returns,878
35,10764,Quantum of Solace,12
36,10764,Quantum of Solace,28
37,10764,Quantum of Solace,53
38,10764,Quantum of Solace,80
39,58,Pirates of the Caribbean: Dead Man's Chest,12
40,58,Pirates of the Caribbean: Dead Man's Chest,14
41,58,Pirates of the Caribbean: Dead Man's Chest,28
42,57201,The Lone Ranger,28
43,57201,The Lone Ranger,12
44,57201,The Lone Ranger,37
45,49521,Man of Steel,28
46,49521,Man of Steel,12
47,49521,Man of Steel,14
48,49521,Man of Steel,878
49,2454,The Chronicles of Narnia: Prince Caspian,12
50,2454,The Chronicles of Narnia: Prince Caspian,10751
51,2454,The Chronicles of Narnia: Prince Caspian,14
52,24428,The Avengers,878
53,24428,The Avengers,28
54,24428,The Avengers,12
55,1865,Pirates of the Caribbean: On Stranger Tides,12
56,1865,Pirates of the Caribbean: On Stranger Tides,28
57,1865,Pirates of the Caribbean: On Stranger Tides,14
58,41154,Men in Black 3,28
59,41154,Men in Black 3,35
60,41154,Men in Black 3,878
61,122917,The Hobbit: The Battle of the Five Armies,28
62,122917,The Hobbit: The Battle of the Five Armies,12
63,122917,The Hobbit: The Battle of the Five Armies,14
64,1930,The Amazing Spider-Man,28
65,1930,The Amazing Spider-Man,12
66,1930,The Amazing Spider-Man,14
67,20662,Robin Hood,28
68,20662,Robin Hood,12
69,57158,The Hobbit: The Desolation of Smaug,12
70,57158,The Hobbit: The Desolation of Smaug,14
71,2268,The Golden Compass,12
72,2268,The Golden Compass,14
73,254,King Kong,12
74,254,King Kong,18
75,254,King Kong,28
76,597,Titanic,18
77,597,Titanic,10749
78,597,Titanic,53
79,271110,Captain America: Civil War,12
80,271110,Captain America: Civil War,28
81,271110,Captain America: Civil War,878
82,44833,Battleship,53
83,44833,Battleship,28
84,44833,Battleship,12
85,44833,Battleship,878
86,135397,Jurassic World,28
87,135397,Jurassic World,12
88,135397,Jurassic World,878
89,135397,Jurassic World,53
90,37724,Skyfall,28
91,37724,Skyfall,12
92,37724,Skyfall,53
93,558,Spider-Man 2,28
94,558,Spider-Man 2,12
95,558,Spider-Man 2,14
96,68721,Iron Man 3,28
97,68721,Iron Man 3,12
98,68721,Iron Man 3,878
99,12155,Alice in Wonderland,10751
100,12155,Alice in Wonderland,14
101,12155,Alice in Wonderland,12
102,36668,X-Men: The Last Stand,12
103,36668,X-Men: The Last Stand,28
104,36668,X-Men: The Last Stand,878
105,36668,X-Men: The Last Stand,53
106,62211,Monsters University,16
107,62211,Monsters University,10751
108,8373,Transformers: Revenge of the Fallen,878
109,8373,Transformers: Revenge of the Fallen,28
110,8373,Transformers: Revenge of the Fallen,12
111,91314,Transformers: Age of Extinction,878
112,91314,Transformers: Age of Extinction,28
113,91314,Transformers: Age of Extinction,12
114,68728,Oz: The Great and Powerful,14
115,68728,Oz: The Great and Powerful,12
116,68728,Oz: The Great and Powerful,10751
117,102382,The Amazing Spider-Man 2,28
118,102382,The Amazing Spider-Man 2,12
119,102382,The Amazing Spider-Man 2,14
120,20526,TRON: Legacy,12
121,20526,TRON: Legacy,28
122,20526,TRON: Legacy,878
123,49013,Cars 2,16
124,49013,Cars 2,10751
125,49013,Cars 2,12
126,49013,Cars 2,35
127,44912,Green Lantern,12
128,44912,Green Lantern,28
129,44912,Green Lantern,53
130,44912,Green Lantern,878
131,10193,Toy Story 3,16
132,10193,Toy Story 3,10751
133,10193,Toy Story 3,35
134,534,Terminator Salvation,28
135,534,Terminator Salvation,878
136,534,Terminator Salvation,53
137,168259,Furious 7,28
138,72190,World War Z,28
139,72190,World War Z,18
140,72190,World War Z,27
141,72190,World War Z,878
142,72190,World War Z,53
143,127585,X-Men: Days of Future Past,28
144,127585,X-Men: Days of Future Past,12
145,127585,X-Men: Days of Future Past,14
146,127585,X-Men: Days of Future Past,878
147,54138,Star Trek Into Darkness,28
148,54138,Star Trek Into Darkness,12
149,54138,Star Trek Into Darkness,878
150,81005,Jack the Giant Slayer,28
151,81005,Jack the Giant Slayer,10751
152,81005,Jack the Giant Slayer,14
153,64682,The Great Gatsby,18
154,64682,The Great Gatsby,10749
155,9543,Prince of Persia: The Sands of Time,12
156,9543,Prince of Persia: The Sands of Time,14
157,9543,Prince of Persia: The Sands of Time,28
158,9543,Prince of Persia: The Sands of Time,10749
159,68726,Pacific Rim,28
160,68726,Pacific Rim,878
161,68726,Pacific Rim,12
162,38356,Transformers: Dark of the Moon,28
163,38356,Transformers: Dark of the Moon,878
164,38356,Transformers: Dark of the Moon,12
165,217,Indiana Jones and the Kingdom of the Crystal Skull,12
166,217,Indiana Jones and the Kingdom of the Crystal Skull,28
167,105864,The Good Dinosaur,12
168,105864,The Good Dinosaur,16
169,105864,The Good Dinosaur,10751
170,62177,Brave,16
171,62177,Brave,12
172,62177,Brave,35
173,62177,Brave,10751
174,62177,Brave,28
175,62177,Brave,14
176,188927,Star Trek Beyond,28
177,188927,Star Trek Beyond,12
178,188927,Star Trek Beyond,878
179,10681,WALL·E,16
180,10681,WALL·E,10751
181,5174,Rush Hour 3,28
182,5174,Rush Hour 3,35
183,5174,Rush Hour 3,80
184,5174,Rush Hour 3,53
185,14161,2012,28
186,14161,2012,12
187,14161,2012,878
188,17979,A Christmas Carol,16
189,17979,A Christmas Carol,18
190,76757,Jupiter Ascending,878
191,76757,Jupiter Ascending,14
192,76757,Jupiter Ascending,28
193,76757,Jupiter Ascending,12
194,258489,The Legend of Tarzan,28
195,258489,The Legend of Tarzan,12
196,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12
197,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",10751
198,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",14
199,246655,X-Men: Apocalypse,878
200,155,The Dark Knight,18
201,155,The Dark Knight,28
202,155,The Dark Knight,80
203,155,The Dark Knight,53
204,14160,Up,16
205,14160,Up,35
206,14160,Up,10751
207,14160,Up,12
208,15512,Monsters vs Aliens,16
209,15512,Monsters vs Aliens,10751
210,15512,Monsters vs Aliens,12
211,15512,Monsters vs Aliens,878
212,1726,Iron Man,28
213,1726,Iron Man,878
214,1726,Iron Man,12
215,44826,Hugo,12
216,44826,Hugo,18
217,44826,Hugo,10751
218,8487,Wild Wild West,28
219,8487,Wild Wild West,12
220,8487,Wild Wild West,35
221,8487,Wild Wild West,878
222,8487,Wild Wild West,37
223,1735,The Mummy: Tomb of the Dragon Emperor,12
224,1735,The Mummy: Tomb of the Dragon Emperor,28
225,1735,The Mummy: Tomb of the Dragon Emperor,14
226,297761,Suicide Squad,28
227,297761,Suicide Squad,12
228,297761,Suicide Squad,80
229,297761,Suicide Squad,14
230,297761,Suicide Squad,878
231,2698,Evan Almighty,14
232,2698,Evan Almighty,35
233,2698,Evan Almighty,10751
234,137113,Edge of Tomorrow,28
235,137113,Edge of Tomorrow,878
236,9804,Waterworld,12
237,9804,Waterworld,28
238,14869,G.I. Joe: The Rise of Cobra,12
239,14869,G.I. Joe: The Rise of Cobra,28
240,14869,G.I. Joe: The Rise of Cobra,53
241,14869,G.I. Joe: The Rise of Cobra,878
242,150540,Inside Out,18
243,150540,Inside Out,35
244,150540,Inside Out,16
245,150540,Inside Out,10751
246,278927,The Jungle Book,10751
247,278927,The Jungle Book,12
248,278927,The Jungle Book,18
249,278927,The Jungle Book,14
250,10138,Iron Man 2,12
251,10138,Iron Man 2,28
252,10138,Iron Man 2,878
253,58595,Snow White and the Huntsman,12
254,58595,Snow White and the Huntsman,14
255,58595,Snow White and the Huntsman,18
256,102651,Maleficent,14
257,102651,Maleficent,12
258,102651,Maleficent,28
259,102651,Maleficent,10751
260,102651,Maleficent,10749
261,119450,Dawn of the Planet of the Apes,878
262,119450,Dawn of the Planet of the Apes,28
263,119450,Dawn of the Planet of the Apes,18
264,119450,Dawn of the Planet of the Apes,53
265,79698,The Lovers,28
266,79698,The Lovers,12
267,79698,The Lovers,878
268,79698,The Lovers,10749
269,64686,47 Ronin,18
270,64686,47 Ronin,28
271,64686,47 Ronin,12
272,64686,47 Ronin,14
273,100402,Captain America: The Winter Soldier,28
274,100402,Captain America: The Winter Soldier,12
275,100402,Captain America: The Winter Soldier,878
276,10192,Shrek Forever After,35
277,10192,Shrek Forever After,12
278,10192,Shrek Forever After,14
279,10192,Shrek Forever After,16
280,10192,Shrek Forever After,10751
281,158852,Tomorrowland,12
282,158852,Tomorrowland,10751
283,158852,Tomorrowland,9648
284,158852,Tomorrowland,878
285,177572,Big Hero 6,12
286,177572,Big Hero 6,10751
287,177572,Big Hero 6,16
288,177572,Big Hero 6,28
289,177572,Big Hero 6,35
290,82690,Wreck-It Ralph,10751
291,82690,Wreck-It Ralph,16
292,82690,Wreck-It Ralph,35
293,82690,Wreck-It Ralph,12
294,5255,The Polar Express,12
295,5255,The Polar Express,16
296,5255,The Polar Express,10751
297,5255,The Polar Express,14
298,47933,Independence Day: Resurgence,28
299,47933,Independence Day: Resurgence,12
300,47933,Independence Day: Resurgence,878
301,10191,How to Train Your Dragon,14
302,10191,How to Train Your Dragon,12
303,10191,How to Train Your Dragon,16
304,10191,How to Train Your Dragon,10751
305,296,Terminator 3: Rise of the Machines,28
306,296,Terminator 3: Rise of the Machines,53
307,296,Terminator 3: Rise of the Machines,878
308,118340,Guardians of the Galaxy,28
309,118340,Guardians of the Galaxy,878
310,118340,Guardians of the Galaxy,12
311,157336,Interstellar,12
312,157336,Interstellar,18
313,157336,Interstellar,878
314,27205,Inception,28
315,27205,Inception,53
316,27205,Inception,878
317,27205,Inception,9648
318,27205,Inception,12
319,315011,Shin Godzilla,28
320,315011,Shin Godzilla,12
321,315011,Shin Godzilla,18
322,315011,Shin Godzilla,27
323,315011,Shin Godzilla,878
324,49051,The Hobbit: An Unexpected Journey,12
325,49051,The Hobbit: An Unexpected Journey,14
326,49051,The Hobbit: An Unexpected Journey,28
327,9799,The Fast and the Furious,28
328,9799,The Fast and the Furious,80
329,9799,The Fast and the Furious,53
330,4922,The Curious Case of Benjamin Button,14
331,4922,The Curious Case of Benjamin Button,18
332,4922,The Curious Case of Benjamin Button,53
333,4922,The Curious Case of Benjamin Button,9648
334,4922,The Curious Case of Benjamin Button,10749
335,49538,X-Men: First Class,28
336,49538,X-Men: First Class,878
337,49538,X-Men: First Class,12
338,131634,The Hunger Games: Mockingjay - Part 2,28
339,131634,The Hunger Games: Mockingjay - Part 2,12
340,131634,The Hunger Games: Mockingjay - Part 2,878
341,27022,The Sorcerer's Apprentice,14
342,27022,The Sorcerer's Apprentice,12
343,27022,The Sorcerer's Apprentice,28
344,27022,The Sorcerer's Apprentice,35
345,27022,The Sorcerer's Apprentice,18
346,503,Poseidon,12
347,503,Poseidon,28
348,503,Poseidon,18
349,503,Poseidon,53
350,241259,Alice Through the Looking Glass,14
351,810,Shrek the Third,14
352,810,Shrek the Third,12
353,810,Shrek the Third,16
354,810,Shrek the Third,35
355,810,Shrek the Third,10751
356,68735,Warcraft,28
357,68735,Warcraft,12
358,68735,Warcraft,14
359,87101,Terminator Genisys,878
360,87101,Terminator Genisys,28
361,87101,Terminator Genisys,53
362,87101,Terminator Genisys,12
363,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,12
364,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,10751
365,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,14
366,676,Pearl Harbor,36
367,676,Pearl Harbor,10749
368,676,Pearl Harbor,10752
369,1858,Transformers,12
370,1858,Transformers,878
371,1858,Transformers,28
372,1966,Alexander,10752
373,1966,Alexander,36
374,1966,Alexander,28
375,1966,Alexander,12
376,1966,Alexander,18
377,1966,Alexander,10749
378,675,Harry Potter and the Order of the Phoenix,12
379,675,Harry Potter and the Order of the Phoenix,14
380,675,Harry Potter and the Order of the Phoenix,10751
381,675,Harry Potter and the Order of the Phoenix,9648
382,674,Harry Potter and the Goblet of Fire,12
383,674,Harry Potter and the Goblet of Fire,14
384,674,Harry Potter and the Goblet of Fire,10751
385,8960,Hancock,14
386,8960,Hancock,28
387,6479,I Am Legend,18
388,6479,I Am Legend,27
389,6479,I Am Legend,28
390,6479,I Am Legend,53
391,6479,I Am Legend,878
392,118,Charlie and the Chocolate Factory,12
393,118,Charlie and the Chocolate Factory,35
394,118,Charlie and the Chocolate Factory,10751
395,118,Charlie and the Chocolate Factory,14
396,2062,Ratatouille,16
397,2062,Ratatouille,35
398,2062,Ratatouille,10751
399,2062,Ratatouille,14
400,272,Batman Begins,28
401,272,Batman Begins,80
402,272,Batman Begins,18
403,10527,Madagascar: Escape 2 Africa,10751
404,10527,Madagascar: Escape 2 Africa,16
405,18360,Night at the Museum: Battle of the Smithsonian,12
406,18360,Night at the Museum: Battle of the Smithsonian,14
407,18360,Night at the Museum: Battle of the Smithsonian,28
408,18360,Night at the Museum: Battle of the Smithsonian,35
409,18360,Night at the Museum: Battle of the Smithsonian,10751
410,2080,X-Men Origins: Wolverine,12
411,2080,X-Men Origins: Wolverine,28
412,2080,X-Men Origins: Wolverine,53
413,2080,X-Men Origins: Wolverine,878
414,605,The Matrix Revolutions,12
415,605,The Matrix Revolutions,28
416,605,The Matrix Revolutions,53
417,605,The Matrix Revolutions,878
418,109445,Frozen,16
419,109445,Frozen,12
420,109445,Frozen,10751
421,604,The Matrix Reloaded,12
422,604,The Matrix Reloaded,28
423,604,The Matrix Reloaded,53
424,604,The Matrix Reloaded,878
425,76338,Thor: The Dark World,28
426,76338,Thor: The Dark World,12
427,76338,Thor: The Dark World,14
428,76341,Mad Max: Fury Road,28
429,76341,Mad Max: Fury Road,12
430,76341,Mad Max: Fury Road,878
431,76341,Mad Max: Fury Road,53
432,13448,Angels & Demons,53
433,13448,Angels & Demons,9648
434,10195,Thor,12
435,10195,Thor,14
436,10195,Thor,28
437,13053,Bolt,16
438,13053,Bolt,10751
439,13053,Bolt,12
440,13053,Bolt,35
441,19585,G-Force,14
442,19585,G-Force,28
443,19585,G-Force,12
444,19585,G-Force,10751
445,19585,G-Force,35
446,57165,Wrath of the Titans,12
447,62213,Dark Shadows,35
448,62213,Dark Shadows,14
449,177677,Mission: Impossible - Rogue Nation,28
450,177677,Mission: Impossible - Rogue Nation,12
451,177677,Mission: Impossible - Rogue Nation,53
452,7978,The Wolfman,18
453,7978,The Wolfman,27
454,7978,The Wolfman,53
455,5559,Bee Movie,10751
456,5559,Bee Movie,16
457,5559,Bee Movie,12
458,5559,Bee Movie,35
459,49444,Kung Fu Panda 2,16
460,49444,Kung Fu Panda 2,10751
461,10196,The Last Airbender,28
462,10196,The Last Airbender,12
463,10196,The Last Airbender,10751
464,10196,The Last Airbender,14
465,956,Mission: Impossible III,12
466,956,Mission: Impossible III,28
467,956,Mission: Impossible III,53
468,117251,White House Down,28
469,117251,White House Down,18
470,117251,White House Down,53
471,50321,Mars Needs Moms,12
472,50321,Mars Needs Moms,16
473,50321,Mars Needs Moms,10751
474,11619,Flushed Away,12
475,11619,Flushed Away,16
476,11619,Flushed Away,35
477,11619,Flushed Away,10751
478,266647,Pan,12
479,266647,Pan,10751
480,266647,Pan,14
481,82703,Mr. Peabody & Sherman,16
482,82703,Mr. Peabody & Sherman,12
483,82703,Mr. Peabody & Sherman,10751
484,652,Troy,12
485,652,Troy,18
486,652,Troy,10752
487,80321,Madagascar 3: Europe's Most Wanted,16
488,80321,Madagascar 3: Europe's Most Wanted,10751
489,36669,Die Another Day,12
490,36669,Die Another Day,28
491,36669,Die Another Day,53
492,43074,Ghostbusters,28
493,43074,Ghostbusters,14
494,43074,Ghostbusters,35
495,95,Armageddon,28
496,95,Armageddon,53
497,95,Armageddon,878
498,95,Armageddon,12
499,608,Men in Black II,28
500,608,Men in Black II,12
501,608,Men in Black II,35
502,608,Men in Black II,878
503,2310,Beowulf,12
504,2310,Beowulf,28
505,2310,Beowulf,16
506,140300,Kung Fu Panda 3,28
507,140300,Kung Fu Panda 3,12
508,140300,Kung Fu Panda 3,16
509,140300,Kung Fu Panda 3,35
510,140300,Kung Fu Panda 3,10751
511,56292,Mission: Impossible - Ghost Protocol,28
512,56292,Mission: Impossible - Ghost Protocol,53
513,56292,Mission: Impossible - Ghost Protocol,12
514,81188,Rise of the Guardians,14
515,81188,Rise of the Guardians,16
516,81188,Rise of the Guardians,10751
517,7552,Fun with Dick and Jane,35
518,616,The Last Samurai,18
519,616,The Last Samurai,28
520,616,The Last Samurai,10752
521,616,The Last Samurai,36
522,147441,Exodus: Gods and Kings,12
523,147441,Exodus: Gods and Kings,18
524,147441,Exodus: Gods and Kings,28
525,13475,Star Trek,878
526,13475,Star Trek,28
527,13475,Star Trek,12
528,557,Spider-Man,14
529,557,Spider-Man,28
530,82702,How to Train Your Dragon 2,14
531,82702,How to Train Your Dragon 2,28
532,82702,How to Train Your Dragon 2,12
533,82702,How to Train Your Dragon 2,16
534,82702,How to Train Your Dragon 2,35
535,82702,How to Train Your Dragon 2,10751
536,205584,Gods of Egypt,14
537,10048,Stealth,28
538,13183,Watchmen,28
539,13183,Watchmen,9648
540,13183,Watchmen,878
541,944,Lethal Weapon 4,28
542,944,Lethal Weapon 4,12
543,944,Lethal Weapon 4,35
544,944,Lethal Weapon 4,80
545,944,Lethal Weapon 4,53
546,1927,Hulk,18
547,1927,Hulk,28
548,1927,Hulk,878
549,72559,G.I. Joe: Retaliation,12
550,72559,G.I. Joe: Retaliation,28
551,72559,G.I. Joe: Retaliation,878
552,72559,G.I. Joe: Retaliation,53
553,7364,Sahara,28
554,7364,Sahara,12
555,7364,Sahara,35
556,7364,Sahara,18
557,7364,Sahara,9648
558,2114,Final Fantasy: The Spirits Within,12
559,2114,Final Fantasy: The Spirits Within,28
560,2114,Final Fantasy: The Spirits Within,16
561,2114,Final Fantasy: The Spirits Within,14
562,2114,Final Fantasy: The Spirits Within,878
563,2114,Final Fantasy: The Spirits Within,53
564,1771,Captain America: The First Avenger,28
565,1771,Captain America: The First Avenger,12
566,1771,Captain America: The First Avenger,878
567,36643,The World Is Not Enough,12
568,36643,The World Is Not Enough,28
569,36643,The World Is Not Enough,53
570,8619,Master and Commander: The Far Side of the World,12
571,50620,The Twilight Saga: Breaking Dawn - Part 2,12
572,50620,The Twilight Saga: Breaking Dawn - Part 2,14
573,50620,The Twilight Saga: Breaking Dawn - Part 2,18
574,50620,The Twilight Saga: Breaking Dawn - Part 2,10749
575,65759,Happy Feet Two,16
576,65759,Happy Feet Two,35
577,65759,Happy Feet Two,10751
578,1724,The Incredible Hulk,878
579,1724,The Incredible Hulk,28
580,1724,The Incredible Hulk,12
581,267935,The BFG,12
582,267935,The BFG,10751
583,267935,The BFG,14
584,281957,The Revenant,37
585,281957,The Revenant,18
586,281957,The Revenant,12
587,281957,The Revenant,53
588,77950,Turbo,16
589,77950,Turbo,10751
590,44896,Rango,16
591,44896,Rango,35
592,44896,Rango,10751
593,44896,Rango,37
594,44896,Rango,12
595,270946,Penguins of Madagascar,10751
596,270946,Penguins of Madagascar,16
597,270946,Penguins of Madagascar,12
598,270946,Penguins of Madagascar,35
599,2503,The Bourne Ultimatum,28
600,2503,The Bourne Ultimatum,18
601,2503,The Bourne Ultimatum,9648
602,2503,The Bourne Ultimatum,53
603,9502,Kung Fu Panda,12
604,9502,Kung Fu Panda,16
605,9502,Kung Fu Panda,10751
606,9502,Kung Fu Panda,35
607,102899,Ant-Man,878
608,102899,Ant-Man,28
609,102899,Ant-Man,12
610,101299,The Hunger Games: Catching Fire,12
611,101299,The Hunger Games: Catching Fire,28
612,101299,The Hunger Games: Catching Fire,878
613,228161,Home,14
614,228161,Home,35
615,228161,Home,16
616,228161,Home,878
617,228161,Home,10751
618,74,War of the Worlds,12
619,74,War of the Worlds,53
620,74,War of the Worlds,878
621,8961,Bad Boys II,12
622,8961,Bad Boys II,28
623,8961,Bad Boys II,35
624,8961,Bad Boys II,53
625,8961,Bad Boys II,80
626,417859,Puss in Boots,28
627,417859,Puss in Boots,12
628,417859,Puss in Boots,16
629,417859,Puss in Boots,10751
630,417859,Puss in Boots,14
631,27576,Salt,28
632,27576,Salt,9648
633,27576,Salt,53
634,86834,Noah,18
635,86834,Noah,12
636,17578,The Adventures of Tintin,12
637,17578,The Adventures of Tintin,16
638,17578,The Adventures of Tintin,9648
639,673,Harry Potter and the Prisoner of Azkaban,12
640,673,Harry Potter and the Prisoner of Azkaban,14
641,673,Harry Potter and the Prisoner of Azkaban,10751
642,6972,Australia,18
643,82700,After Earth,878
644,82700,After Earth,28
645,82700,After Earth,12
646,10567,Dinosaur,16
647,10567,Dinosaur,10751
648,181533,Night at the Museum: Secret of the Tomb,12
649,181533,Night at the Museum: Secret of the Tomb,35
650,181533,Night at the Museum: Secret of the Tomb,14
651,181533,Night at the Museum: Secret of the Tomb,10751
652,38055,Megamind,16
653,38055,Megamind,28
654,38055,Megamind,35
655,38055,Megamind,10751
656,38055,Megamind,878
657,671,Harry Potter and the Philosopher's Stone,12
658,671,Harry Potter and the Philosopher's Stone,14
659,671,Harry Potter and the Philosopher's Stone,10751
660,49524,R.I.P.D.,14
661,49524,R.I.P.D.,28
662,49524,R.I.P.D.,35
663,49524,R.I.P.D.,80
664,22,Pirates of the Caribbean: The Curse of the Black Pearl,12
665,22,Pirates of the Caribbean: The Curse of the Black Pearl,14
666,22,Pirates of the Caribbean: The Curse of the Black Pearl,28
667,131631,The Hunger Games: Mockingjay - Part 1,878
668,131631,The Hunger Games: Mockingjay - Part 1,12
669,131631,The Hunger Games: Mockingjay - Part 1,53
670,591,The Da Vinci Code,53
671,591,The Da Vinci Code,9648
672,172385,Rio 2,16
673,172385,Rio 2,12
674,172385,Rio 2,35
675,172385,Rio 2,10751
676,36658,X2,12
677,36658,X2,28
678,36658,X2,878
679,36658,X2,53
680,51497,Fast Five,28
681,51497,Fast Five,53
682,51497,Fast Five,80
683,58574,Sherlock Holmes: A Game of Shadows,12
684,58574,Sherlock Holmes: A Game of Shadows,28
685,58574,Sherlock Holmes: A Game of Shadows,80
686,58574,Sherlock Holmes: A Game of Shadows,9648
687,18823,Clash of the Titans,12
688,18823,Clash of the Titans,14
689,18823,Clash of the Titans,28
690,861,Total Recall,28
691,861,Total Recall,12
692,861,Total Recall,878
693,1911,The 13th Warrior,12
694,1911,The 13th Warrior,14
695,1911,The 13th Warrior,28
696,49040,The Bourne Legacy,28
697,49040,The Bourne Legacy,53
698,415,Batman & Robin,28
699,415,Batman & Robin,80
700,415,Batman & Robin,14
701,8871,How the Grinch Stole Christmas,10751
702,8871,How the Grinch Stole Christmas,35
703,8871,How the Grinch Stole Christmas,14
704,435,The Day After Tomorrow,28
705,435,The Day After Tomorrow,12
706,435,The Day After Tomorrow,878
707,435,The Day After Tomorrow,53
708,955,Mission: Impossible II,12
709,955,Mission: Impossible II,28
710,955,Mission: Impossible II,53
711,2133,The Perfect Storm,18
712,1979,Fantastic 4: Rise of the Silver Surfer,12
713,1979,Fantastic 4: Rise of the Silver Surfer,14
714,1979,Fantastic 4: Rise of the Silver Surfer,28
715,1979,Fantastic 4: Rise of the Silver Surfer,53
716,87827,Life of Pi,12
717,87827,Life of Pi,18
718,87827,Life of Pi,28
719,1250,Ghost Rider,53
720,1250,Ghost Rider,28
721,1250,Ghost Rider,14
722,1250,Ghost Rider,27
723,324668,Jason Bourne,28
724,324668,Jason Bourne,53
725,9471,Charlie's Angels: Full Throttle,28
726,9471,Charlie's Angels: Full Throttle,12
727,9471,Charlie's Angels: Full Throttle,35
728,70981,Prometheus,878
729,70981,Prometheus,12
730,70981,Prometheus,9648
731,10996,Stuart Little 2,10751
732,10996,Stuart Little 2,12
733,10996,Stuart Little 2,16
734,10996,Stuart Little 2,35
735,68724,Elysium,878
736,68724,Elysium,28
737,68724,Elysium,18
738,68724,Elysium,53
739,2789,The Chronicles of Riddick,28
740,2789,The Chronicles of Riddick,878
741,97020,RoboCop,28
742,97020,RoboCop,878
743,7459,Speed Racer,28
744,7459,Speed Racer,10751
745,7459,Speed Racer,878
746,42888,How Do You Know,35
747,42888,How Do You Know,18
748,42888,How Do You Know,10749
749,37834,Knight and Day,28
750,37834,Knight and Day,35
751,75612,Oblivion,28
752,75612,Oblivion,878
753,75612,Oblivion,12
754,75612,Oblivion,9648
755,1895,Star Wars: Episode III - Revenge of the Sith,878
756,1895,Star Wars: Episode III - Revenge of the Sith,12
757,1895,Star Wars: Episode III - Revenge of the Sith,28
758,1894,Star Wars: Episode II - Attack of the Clones,12
759,1894,Star Wars: Episode II - Attack of the Clones,28
760,1894,Star Wars: Episode II - Attack of the Clones,878
761,585,"Monsters, Inc.",16
762,585,"Monsters, Inc.",35
763,585,"Monsters, Inc.",10751
764,76170,The Wolverine,28
765,76170,The Wolverine,878
766,76170,The Wolverine,12
767,76170,The Wolverine,14
768,1893,Star Wars: Episode I - The Phantom Menace,12
769,1893,Star Wars: Episode I - The Phantom Menace,28
770,1893,Star Wars: Episode I - The Phantom Menace,878
771,49519,The Croods,12
772,49519,The Croods,16
773,49519,The Croods,35
774,49519,The Croods,10751
775,49519,The Croods,14
776,2395,Asterix at the Olympic Games,14
777,2395,Asterix at the Olympic Games,12
778,2395,Asterix at the Olympic Games,35
779,2395,Asterix at the Olympic Games,10751
780,12100,Windtalkers,18
781,12100,Windtalkers,28
782,12100,Windtalkers,36
783,12100,Windtalkers,10752
784,290595,The Huntsman: Winter's War,28
785,290595,The Huntsman: Winter's War,12
786,290595,The Huntsman: Winter's War,18
787,98566,Teenage Mutant Ninja Turtles,878
788,98566,Teenage Mutant Ninja Turtles,28
789,98566,Teenage Mutant Ninja Turtles,12
790,98566,Teenage Mutant Ninja Turtles,14
791,98566,Teenage Mutant Ninja Turtles,35
792,49047,Gravity,878
793,49047,Gravity,53
794,49047,Gravity,18
795,9619,Dante's Peak,28
796,9619,Dante's Peak,12
797,9619,Dante's Peak,53
798,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,14
799,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,28
800,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,12
801,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,35
802,166424,Fantastic Four,28
803,166424,Fantastic Four,12
804,166424,Fantastic Four,878
805,1593,Night at the Museum,28
806,1593,Night at the Museum,12
807,1593,Night at the Museum,35
808,1593,Night at the Museum,10751
809,1593,Night at the Museum,14
810,254128,San Andreas,28
811,254128,San Andreas,18
812,254128,San Andreas,53
813,714,Tomorrow Never Dies,12
814,714,Tomorrow Never Dies,28
815,714,Tomorrow Never Dies,53
816,2024,The Patriot,18
817,2024,The Patriot,36
818,2024,The Patriot,10752
819,2024,The Patriot,28
