,movieid,moviename,genres
3526,1645,A Time to Kill,53
3527,11007,Cheaper by the Dozen,35
3528,193756,Lone Survivor,28
3529,193756,Lone Survivor,18
3530,193756,Lone Survivor,53
3531,193756,Lone Survivor,10752
3532,11287,A League of Their Own,35
3533,259693,The Conjuring 2,27
3534,37799,The Social Network,18
3535,10184,He's Just Not That Into You,35
3536,10184,He's Just Not That Into You,10749
3537,10184,He's Just Not That Into You,18
3538,4257,Scary Movie 4,35
3539,4234,Scream 3,27
3540,4234,Scream 3,9648
3541,196,Back to the Future Part III,12
3542,196,Back to the Future Part III,35
3543,196,Back to the Future Part III,10751
3544,196,Back to the Future Part III,878
3545,257091,Get Hard,35
3546,6114,Dracula,10749
3547,6114,Dracula,27
3548,24803,Julie & Julia,10749
3549,24803,Julie & Julia,18
3550,109410,42,18
3551,1213,The Talented Mr. Ripley,53
3552,1213,The Talented Mr. Ripley,80
3553,1213,The Talented Mr. Ripley,18
3554,100042,Dumb and Dumber To,35
3555,9036,Eight Below,12
3556,9036,Eight Below,18
3557,9036,Eight Below,10751
3558,257211,The Intern,35
3559,323675,Ride Along 2,28
3560,323675,Ride Along 2,35
3561,9361,The Last of the Mohicans,28
3562,9361,The Last of the Mohicans,12
3563,9361,The Last of the Mohicans,18
3564,9361,The Last of the Mohicans,36
3565,9361,The Last of the Mohicans,10749
3566,9361,The Last of the Mohicans,10752
3567,1677,Ray,18
3568,1677,Ray,10402
3569,187,Sin City,28
3570,187,Sin City,53
3571,187,Sin City,80
3572,7461,Vantage Point,18
3573,7461,Vantage Point,28
3574,7461,Vantage Point,53
3575,7461,Vantage Point,80
3576,16538,"I Love You, Man",35
3577,9889,Shallow Hal,35
3578,9889,Shallow Hal,10749
3579,820,JFK,18
3580,820,JFK,53
3581,820,JFK,36
3582,11565,Big Momma's House 2,35
3583,11565,Big Momma's House 2,80
3584,6073,The Mexican,28
3585,6073,The Mexican,35
3586,6073,The Mexican,80
3587,6073,The Mexican,10749
3588,16996,17 Again,35
3589,193610,The Other Woman,35
3590,193610,The Other Woman,10749
3591,19912,The Final Destination,27
3592,19912,The Final Destination,9648
3593,296098,Bridge of Spies,53
3594,296098,Bridge of Spies,18
3595,8007,Behind Enemy Lines,28
3596,8007,Behind Enemy Lines,18
3597,8007,Behind Enemy Lines,53
3598,8007,Behind Enemy Lines,10752
3599,32823,Get Him to the Greek,35
3600,4380,Shall We Dance?,18
3601,4380,Shall We Dance?,10749
3602,4380,Shall We Dance?,35
3603,11551,Small Soldiers,35
3604,11551,Small Soldiers,12
3605,11551,Small Soldiers,14
3606,11551,Small Soldiers,878
3607,11551,Small Soldiers,28
3608,10336,Spawn,28
3609,10336,Spawn,12
3610,10336,Spawn,14
3611,10336,Spawn,27
3612,10336,Spawn,878
3613,10336,Spawn,53
3614,11362,The Count of Monte Cristo,28
3615,11362,The Count of Monte Cristo,12
3616,11362,The Count of Monte Cristo,18
3617,11362,The Count of Monte Cristo,53
