,g_name,g_id,votecount
9925,Family,10751,19
9926,Foreign,10769,19
9927,Thriller,53,140
9928,Mystery,9648,140
9929,Science Fiction,878,140
9930,Comedy,35,1000
9931,Drama,18,1000
9932,Family,10751,1000
9933,Music,10402,1000
9934,TV Movie,10770,1000
9935,Drama,18,11
9936,Romance,10749,11
9937,Foreign,10769,11
9938,Fantasy,14,210
9939,Action,28,210
9940,Thriller,53,210
9941,Romance,10749,176
9942,Crime,80,176
9943,Drama,18,176
9944,Thriller,53,176
9945,Comedy,35,183
9946,Horror,27,116
9947,Science Fiction,878,116
9948,Horror,27,580
9949,Drama,18,1895
9950,Comedy,35,1010
9951,Drama,18,1010
9952,Romance,10749,1010
9953,Action,28,50
9954,Drama,18,50
9955,Romance,10749,50
9956,Drama,18,250
9957,Romance,10749,250
9958,Horror,27,593
9959,Drama,18,360
9960,Romance,10749,360
9961,Horror,27,67
9962,Comedy,35,67
9963,Romance,10749,68
9964,Drama,18,68
9965,Comedy,35,68
9966,Thriller,53,1022
9967,Drama,18,22
9968,Comedy,35,506
9969,Drama,18,506
9970,Action,28,550
9971,Horror,27,550
9972,Science Fiction,878,550
9973,Thriller,53,550
9974,Adventure,12,717
9975,Drama,18,717
9976,History,36,717
9977,Thriller,53,717
9978,War,10752,717
9979,Documentary,99,34
9980,Horror,27,203
9981,Thriller,53,203
9982,Drama,18,1971
9983,Comedy,35,420
9984,Mystery,9648,420
9985,Action,28,26
9986,Comedy,35,26
9987,Action,28,15
9988,Comedy,35,15
9989,Romance,10749,15
9990,Drama,18,89
9991,Romance,10749,89
9992,Drama,18,72
9993,Action,28,72
9994,Romance,10749,72
9995,Drama,18,57
9996,Thriller,53,57
9997,Comedy,35,10
9998,Crime,80,10
9999,Horror,27,633
10000,Drama,18,633
10001,Thriller,53,633
10002,Comedy,35,346
10003,Horror,27,346
10004,Comedy,35,168
10005,Drama,18,168
10006,Romance,10749,168
10007,Action,28,77
10008,Drama,18,77
10009,Mystery,9648,77
10010,Thriller,53,77
10011,Comedy,35,69
10012,Crime,80,69
10013,Crime,80,530
10014,Comedy,35,530
10015,Comedy,35,376
10016,Drama,18,376
10017,Romance,10749,376
10018,Documentary,99,8
10019,Drama,18,46
10020,Music,10402,63
10021,Comedy,35,63
10022,Comedy,35,11
