,g_name,g_id,votecount
0,Action,28,11800
1,Adventure,12,11800
2,Fantasy,14,11800
3,Science Fiction,878,11800
4,Adventure,12,4500
5,Fantasy,14,4500
6,Action,28,4500
7,Action,28,4466
8,Adventure,12,4466
9,Crime,80,4466
10,Action,28,9106
11,Crime,80,9106
12,Drama,18,9106
13,Thriller,53,9106
14,Action,28,2124
15,Adventure,12,2124
16,Science Fiction,878,2124
17,Fantasy,14,3576
18,Action,28,3576
19,Adventure,12,3576
20,Animation,16,3330
21,Family,10751,3330
22,Action,28,6767
23,Adventure,12,6767
24,Science Fiction,878,6767
25,Adventure,12,5293
26,Fantasy,14,5293
27,Family,10751,5293
28,Action,28,7004
29,Adventure,12,7004
30,Fantasy,14,7004
31,Adventure,12,1400
32,Fantasy,14,1400
33,Action,28,1400
34,Science Fiction,878,1400
35,Adventure,12,2965
36,Action,28,2965
37,Thriller,53,2965
38,Crime,80,2965
39,Adventure,12,5246
40,Fantasy,14,5246
41,Action,28,5246
42,Action,28,2311
43,Adventure,12,2311
44,Western,37,2311
45,Action,28,6359
46,Adventure,12,6359
47,Fantasy,14,6359
48,Science Fiction,878,6359
49,Adventure,12,1630
50,Family,10751,1630
51,Fantasy,14,1630
52,Science Fiction,878,11776
53,Action,28,11776
54,Adventure,12,11776
55,Adventure,12,4948
56,Action,28,4948
57,Fantasy,14,4948
58,Action,28,4160
59,Comedy,35,4160
60,Science Fiction,878,4160
61,Action,28,4760
62,Adventure,12,4760
63,Fantasy,14,4760
64,Action,28,6586
65,Adventure,12,6586
66,Fantasy,14,6586
67,Action,28,1398
68,Adventure,12,1398
69,Adventure,12,4524
70,Fantasy,14,4524
71,Adventure,12,1303
72,Fantasy,14,1303
73,Adventure,12,2337
74,Drama,18,2337
75,Action,28,2337
76,Drama,18,7562
77,Romance,10749,7562
78,Thriller,53,7562
79,Adventure,12,7241
80,Action,28,7241
81,Science Fiction,878,7241
82,Thriller,53,2114
83,Action,28,2114
84,Adventure,12,2114
85,Science Fiction,878,2114
86,Action,28,8662
87,Adventure,12,8662
88,Science Fiction,878,8662
89,Thriller,53,8662
90,Action,28,7604
91,Adventure,12,7604
92,Thriller,53,7604
93,Action,28,4321
94,Adventure,12,4321
95,Fantasy,14,4321
96,Action,28,8806
97,Adventure,12,8806
98,Science Fiction,878,8806
99,Family,10751,4645
100,Fantasy,14,4645
101,Adventure,12,4645
102,Adventure,12,3525
103,Action,28,3525
104,Science Fiction,878,3525
105,Thriller,53,3525
106,Animation,16,3528
107,Family,10751,3528
108,Science Fiction,878,3138
109,Action,28,3138
110,Adventure,12,3138
111,Science Fiction,878,3095
112,Action,28,3095
113,Adventure,12,3095
114,Fantasy,14,3530
115,Adventure,12,3530
116,Family,10751,3530
117,Action,28,4179
118,Adventure,12,4179
119,Fantasy,14,4179
120,Adventure,12,2841
121,Action,28,2841
122,Science Fiction,878,2841
123,Animation,16,2033
124,Family,10751,2033
125,Adventure,12,2033
126,Comedy,35,2033
127,Adventure,12,2487
128,Action,28,2487
129,Thriller,53,2487
130,Science Fiction,878,2487
131,Animation,16,4597
132,Family,10751,4597
133,Comedy,35,4597
134,Action,28,2463
135,Science Fiction,878,2463
136,Thriller,53,2463
137,Action,28,4176
138,Action,28,5560
139,Drama,18,5560
140,Horror,27,5560
141,Science Fiction,878,5560
142,Thriller,53,5560
143,Action,28,6032
144,Adventure,12,6032
145,Fantasy,14,6032
146,Science Fiction,878,6032
147,Action,28,4418
148,Adventure,12,4418
149,Science Fiction,878,4418
150,Action,28,2598
151,Family,10751,2598
152,Fantasy,14,2598
153,Drama,18,3769
154,Romance,10749,3769
155,Adventure,12,2317
156,Fantasy,14,2317
157,Action,28,2317
158,Romance,10749,2317
159,Action,28,4794
160,Science Fiction,878,4794
161,Adventure,12,4794
162,Action,28,3299
163,Science Fiction,878,3299
164,Adventure,12,3299
165,Adventure,12,2495
166,Action,28,2495
167,Adventure,12,1736
168,Animation,16,1736
169,Family,10751,1736
170,Animation,16,4641
171,Adventure,12,4641
172,Comedy,35,4641
173,Family,10751,4641
174,Action,28,4641
175,Fantasy,14,4641
176,Action,28,2568
177,Adventure,12,2568
178,Science Fiction,878,2568
179,Animation,16,6296
180,Family,10751,6296
181,Action,28,783
182,Comedy,35,783
183,Crime,80,783
184,Thriller,53,783
185,Action,28,4903
186,Adventure,12,4903
187,Science Fiction,878,4903
188,Animation,16,1095
189,Drama,18,1095
190,Science Fiction,878,2768
191,Fantasy,14,2768
192,Action,28,2768
193,Adventure,12,2768
194,Action,28,2430
195,Adventure,12,2430
196,Adventure,12,2629
197,Family,10751,2629
198,Fantasy,14,2629
199,Science Fiction,878,4721
200,Drama,18,12002
201,Action,28,12002
202,Crime,80,12002
203,Thriller,53,12002
204,Animation,16,6870
205,Comedy,35,6870
206,Family,10751,6870
207,Adventure,12,6870
208,Animation,16,1423
209,Family,10751,1423
210,Adventure,12,1423
211,Science Fiction,878,1423
212,Action,28,8776
213,Science Fiction,878,8776
214,Adventure,12,8776
215,Adventure,12,2141
216,Drama,18,2141
217,Family,10751,2141
218,Action,28,1020
219,Adventure,12,1020
220,Comedy,35,1020
221,Science Fiction,878,1020
222,Western,37,1020
223,Adventure,12,1387
224,Action,28,1387
225,Fantasy,14,1387
226,Action,28,7458
227,Adventure,12,7458
228,Crime,80,7458
229,Fantasy,14,7458
230,Science Fiction,878,7458
231,Fantasy,14,1151
232,Comedy,35,1151
233,Family,10751,1151
234,Action,28,4858
235,Science Fiction,878,4858
236,Adventure,12,992
237,Action,28,992
238,Adventure,12,1962
239,Action,28,1962
240,Thriller,53,1962
241,Science Fiction,878,1962
242,Drama,18,6560
243,Comedy,35,6560
244,Animation,16,6560
245,Family,10751,6560
246,Family,10751,2892
247,Adventure,12,2892
248,Drama,18,2892
249,Fantasy,14,2892
250,Adventure,12,6849
251,Action,28,6849
252,Science Fiction,878,6849
253,Adventure,12,3118
254,Fantasy,14,3118
255,Drama,18,3118
256,Fantasy,14,4496
257,Adventure,12,4496
258,Action,28,4496
259,Family,10751,4496
260,Romance,10749,4496
261,Science Fiction,878,4410
262,Action,28,4410
263,Drama,18,4410
264,Thriller,53,4410
265,Action,28,34
266,Adventure,12,34
267,Science Fiction,878,34
268,Romance,10749,34
269,Drama,18,1326
270,Action,28,1326
271,Adventure,12,1326
272,Fantasy,14,1326
273,Action,28,5764
274,Adventure,12,5764
275,Science Fiction,878,5764
276,Comedy,35,1959
277,Adventure,12,1959
278,Fantasy,14,1959
279,Animation,16,1959
280,Family,10751,1959
281,Adventure,12,2846
282,Family,10751,2846
283,Mystery,9648,2846
284,Science Fiction,878,2846
285,Adventure,12,6135
286,Family,10751,6135
287,Animation,16,6135
288,Action,28,6135
289,Comedy,35,6135
290,Family,10751,4570
291,Animation,16,4570
292,Comedy,35,4570
293,Adventure,12,4570
294,Adventure,12,1474
295,Animation,16,1474
296,Family,10751,1474
297,Fantasy,14,1474
298,Action,28,2491
299,Adventure,12,2491
300,Science Fiction,878,2491
301,Fantasy,14,4227
302,Adventure,12,4227
303,Animation,16,4227
304,Family,10751,4227
305,Action,28,2143
306,Thriller,53,2143
307,Science Fiction,878,2143
308,Action,28,9742
309,Science Fiction,878,9742
310,Adventure,12,9742
311,Adventure,12,10867
312,Drama,18,10867
313,Science Fiction,878,10867
314,Action,28,13752
315,Thriller,53,13752
316,Science Fiction,878,13752
317,Mystery,9648,13752
318,Adventure,12,13752
319,Action,28,143
320,Adventure,12,143
321,Drama,18,143
322,Horror,27,143
323,Science Fiction,878,143
324,Adventure,12,8297
325,Fantasy,14,8297
326,Action,28,8297
327,Action,28,3428
328,Crime,80,3428
329,Thriller,53,3428
330,Fantasy,14,3292
331,Drama,18,3292
332,Thriller,53,3292
333,Mystery,9648,3292
334,Romance,10749,3292
335,Action,28,5181
336,Science Fiction,878,5181
337,Adventure,12,5181
338,Action,28,3984
339,Adventure,12,3984
340,Science Fiction,878,3984
341,Fantasy,14,1470
342,Adventure,12,1470
343,Action,28,1470
344,Comedy,35,1470
345,Drama,18,1470
346,Adventure,12,583
347,Action,28,583
348,Drama,18,583
349,Thriller,53,583
350,Fantasy,14,1725
351,Fantasy,14,2278
352,Adventure,12,2278
353,Animation,16,2278
354,Comedy,35,2278
355,Family,10751,2278
356,Action,28,2268
357,Adventure,12,2268
358,Fantasy,14,2268
359,Science Fiction,878,3631
360,Action,28,3631
361,Thriller,53,3631
362,Adventure,12,3631
363,Adventure,12,1514
364,Family,10751,1514
365,Fantasy,14,1514
366,History,36,1791
367,Romance,10749,1791
368,War,10752,1791
369,Adventure,12,4040
370,Science Fiction,878,4040
371,Action,28,4040
372,War,10752,927
373,History,36,927
374,Action,28,927
375,Adventure,12,927
376,Drama,18,927
377,Romance,10749,927
378,Adventure,12,5494
379,Fantasy,14,5494
380,Family,10751,5494
381,Mystery,9648,5494
382,Adventure,12,5608
383,Fantasy,14,5608
384,Family,10751,5608
385,Fantasy,14,2961
386,Action,28,2961
387,Drama,18,4853
388,Horror,27,4853
389,Action,28,4853
390,Thriller,53,4853
391,Science Fiction,878,4853
392,Adventure,12,3624
393,Comedy,35,3624
394,Family,10751,3624
395,Fantasy,14,3624
396,Animation,16,4369
397,Comedy,35,4369
398,Family,10751,4369
399,Fantasy,14,4369
400,Action,28,7359
401,Crime,80,7359
402,Drama,18,7359
403,Family,10751,1810
404,Animation,16,1810
405,Adventure,12,1971
406,Fantasy,14,1971
407,Action,28,1971
408,Comedy,35,1971
409,Family,10751,1971
410,Adventure,12,4021
411,Action,28,4021
412,Thriller,53,4021
413,Science Fiction,878,4021
414,Adventure,12,3096
415,Action,28,3096
416,Thriller,53,3096
417,Science Fiction,878,3096
418,Animation,16,5295
419,Adventure,12,5295
420,Family,10751,5295
421,Adventure,12,3443
422,Action,28,3443
423,Thriller,53,3443
424,Science Fiction,878,3443
425,Action,28,4755
426,Adventure,12,4755
427,Fantasy,14,4755
428,Action,28,9427
429,Adventure,12,9427
430,Science Fiction,878,9427
431,Thriller,53,9427
432,Thriller,53,2129
433,Mystery,9648,2129
434,Adventure,12,6525
435,Fantasy,14,6525
436,Action,28,6525
437,Animation,16,1750
438,Family,10751,1750
439,Adventure,12,1750
440,Comedy,35,1750
441,Fantasy,14,510
442,Action,28,510
443,Adventure,12,510
444,Family,10751,510
445,Comedy,35,510
446,Adventure,12,1431
447,Comedy,35,2320
448,Fantasy,14,2320
449,Action,28,3224
450,Adventure,12,3224
451,Thriller,53,3224
452,Drama,18,549
453,Horror,27,549
454,Thriller,53,549
455,Family,10751,1171
456,Animation,16,1171
457,Adventure,12,1171
458,Comedy,35,1171
459,Animation,16,1880
460,Family,10751,1880
461,Action,28,1151
462,Adventure,12,1151
463,Family,10751,1151
464,Fantasy,14,1151
465,Adventure,12,2028
466,Action,28,2028
467,Thriller,53,2028
468,Action,28,1891
469,Drama,18,1891
470,Thriller,53,1891
471,Adventure,12,199
472,Animation,16,199
473,Family,10751,199
474,Adventure,12,874
475,Animation,16,874
476,Comedy,35,874
477,Family,10751,874
478,Adventure,12,954
479,Family,10751,954
480,Fantasy,14,954
481,Animation,16,843
482,Adventure,12,843
483,Family,10751,843
484,Adventure,12,2759
485,Drama,18,2759
486,War,10752,2759
487,Animation,16,1808
488,Family,10751,1808
489,Adventure,12,1092
490,Action,28,1092
491,Thriller,53,1092
492,Action,28,2142
493,Fantasy,14,2142
494,Comedy,35,2142
495,Action,28,2482
496,Thriller,53,2482
497,Science Fiction,878,2482
498,Adventure,12,2482
499,Action,28,3114
500,Adventure,12,3114
501,Comedy,35,3114
502,Science Fiction,878,3114
503,Adventure,12,841
504,Action,28,841
505,Animation,16,841
506,Action,28,1603
507,Adventure,12,1603
508,Animation,16,1603
509,Comedy,35,1603
510,Family,10751,1603
511,Action,28,3972
512,Thriller,53,3972
513,Adventure,12,3972
514,Fantasy,14,1922
515,Animation,16,1922
516,Family,10751,1922
517,Comedy,35,627
518,Drama,18,1895
519,Action,28,1895
520,War,10752,1895
521,History,36,1895
522,Adventure,12,1921
523,Drama,18,1921
524,Action,28,1921
525,Science Fiction,878,4518
526,Action,28,4518
527,Adventure,12,4518
528,Fantasy,14,5265
529,Action,28,5265
530,Fantasy,14,3106
531,Action,28,3106
532,Adventure,12,3106
533,Animation,16,3106
534,Comedy,35,3106
535,Family,10751,3106
536,Fantasy,14,1277
537,Action,28,331
538,Action,28,2811
539,Mystery,9648,2811
540,Science Fiction,878,2811
541,Action,28,767
542,Adventure,12,767
543,Comedy,35,767
544,Crime,80,767
545,Thriller,53,767
546,Drama,18,1533
547,Action,28,1533
548,Science Fiction,878,1533
549,Adventure,12,3025
550,Action,28,3025
551,Science Fiction,878,3025
552,Thriller,53,3025
553,Action,28,434
554,Adventure,12,434
555,Comedy,35,434
556,Drama,18,434
557,Mystery,9648,434
558,Adventure,12,433
559,Action,28,433
560,Animation,16,433
561,Fantasy,14,433
562,Science Fiction,878,433
563,Thriller,53,433
564,Action,28,7047
565,Adventure,12,7047
566,Science Fiction,878,7047
567,Adventure,12,862
568,Action,28,862
569,Thriller,53,862
570,Adventure,12,790
571,Adventure,12,2553
572,Fantasy,14,2553
573,Drama,18,2553
574,Romance,10749,2553
575,Animation,16,373
576,Comedy,35,373
577,Family,10751,373
578,Science Fiction,878,3021
579,Action,28,3021
580,Adventure,12,3021
581,Adventure,12,1000
582,Family,10751,1000
583,Fantasy,14,1000
584,Western,37,6396
585,Drama,18,6396
586,Adventure,12,6396
587,Thriller,53,6396
588,Animation,16,1074
589,Family,10751,1074
590,Animation,16,2051
591,Comedy,35,2051
592,Family,10751,2051
593,Western,37,2051
594,Adventure,12,2051
595,Family,10751,1346
596,Animation,16,1346
597,Adventure,12,1346
598,Comedy,35,1346
599,Action,28,2888
600,Drama,18,2888
601,Mystery,9648,2888
602,Thriller,53,2888
603,Adventure,12,3145
604,Animation,16,3145
605,Family,10751,3145
606,Comedy,35,3145
607,Science Fiction,878,5880
608,Action,28,5880
609,Adventure,12,5880
610,Adventure,12,6495
611,Action,28,6495
612,Science Fiction,878,6495
613,Fantasy,14,1519
614,Comedy,35,1519
615,Animation,16,1519
616,Science Fiction,878,1519
617,Family,10751,1519
618,Adventure,12,2322
619,Thriller,53,2322
620,Science Fiction,878,2322
621,Adventure,12,1564
622,Action,28,1564
623,Comedy,35,1564
624,Thriller,53,1564
625,Crime,80,1564
626,Action,28,451
627,Adventure,12,451
628,Animation,16,451
629,Family,10751,451
630,Fantasy,14,451
631,Action,28,2093
632,Mystery,9648,2093
633,Thriller,53,2093
634,Drama,18,2350
635,Adventure,12,2350
636,Adventure,12,2061
637,Animation,16,2061
638,Mystery,9648,2061
639,Adventure,12,5877
640,Fantasy,14,5877
641,Family,10751,5877
642,Drama,18,694
643,Science Fiction,878,2532
644,Action,28,2532
645,Adventure,12,2532
646,Animation,16,542
647,Family,10751,542
648,Adventure,12,1851
649,Comedy,35,1851
650,Fantasy,14,1851
651,Family,10751,1851
652,Animation,16,1918
653,Action,28,1918
654,Comedy,35,1918
655,Family,10751,1918
656,Science Fiction,878,1918
657,Adventure,12,7006
658,Fantasy,14,7006
659,Family,10751,7006
660,Fantasy,14,1260
661,Action,28,1260
662,Comedy,35,1260
663,Crime,80,1260
664,Adventure,12,6985
665,Fantasy,14,6985
666,Action,28,6985
667,Science Fiction,878,5584
668,Adventure,12,5584
669,Thriller,53,5584
670,Thriller,53,2704
671,Mystery,9648,2704
672,Animation,16,978
673,Adventure,12,978
674,Comedy,35,978
675,Family,10751,978
676,Adventure,12,3506
677,Action,28,3506
678,Science Fiction,878,3506
679,Thriller,53,3506
680,Action,28,2438
681,Thriller,53,2438
682,Crime,80,2438
683,Adventure,12,3886
684,Action,28,3886
685,Crime,80,3886
686,Mystery,9648,3886
687,Adventure,12,2233
688,Fantasy,14,2233
689,Action,28,2233
690,Action,28,1710
691,Adventure,12,1710
692,Science Fiction,878,1710
693,Adventure,12,510
694,Fantasy,14,510
695,Action,28,510
696,Action,28,2651
697,Thriller,53,2651
698,Action,28,1418
699,Crime,80,1418
700,Fantasy,14,1418
701,Family,10751,1386
702,Comedy,35,1386
703,Fantasy,14,1386
704,Action,28,2392
705,Adventure,12,2392
706,Science Fiction,878,2392
707,Thriller,53,2392
708,Adventure,12,1928
709,Action,28,1928
710,Thriller,53,1928
711,Drama,18,597
712,Adventure,12,2589
713,Fantasy,14,2589
714,Action,28,2589
715,Thriller,53,2589
716,Adventure,12,5797
717,Drama,18,5797
718,Action,28,5797
719,Thriller,53,1712
720,Action,28,1712
721,Fantasy,14,1712
722,Horror,27,1712
723,Action,28,2341
724,Thriller,53,2341
725,Action,28,914
726,Adventure,12,914
727,Comedy,35,914
728,Science Fiction,878,5080
729,Adventure,12,5080
730,Mystery,9648,5080
731,Family,10751,613
732,Adventure,12,613
733,Animation,16,613
734,Comedy,35,613
735,Science Fiction,878,3439
736,Action,28,3439
737,Drama,18,3439
738,Thriller,53,3439
739,Action,28,1570
740,Science Fiction,878,1570
741,Action,28,2342
742,Science Fiction,878,2342
743,Action,28,354
744,Family,10751,354
745,Science Fiction,878,354
746,Comedy,35,223
747,Drama,18,223
748,Romance,10749,223
749,Action,28,1547
750,Comedy,35,1547
751,Action,28,4800
752,Science Fiction,878,4800
753,Adventure,12,4800
754,Mystery,9648,4800
755,Science Fiction,878,4116
756,Adventure,12,4116
757,Action,28,4116
758,Adventure,12,3992
759,Action,28,3992
760,Science Fiction,878,3992
761,Animation,16,5996
762,Comedy,35,5996
763,Family,10751,5996
764,Action,28,4053
765,Science Fiction,878,4053
766,Adventure,12,4053
767,Fantasy,14,4053
768,Adventure,12,4432
769,Action,28,4432
770,Science Fiction,878,4432
771,Adventure,12,2399
772,Animation,16,2399
773,Comedy,35,2399
774,Family,10751,2399
775,Fantasy,14,2399
776,Fantasy,14,471
777,Adventure,12,471
778,Comedy,35,471
779,Family,10751,471
780,Drama,18,341
781,Action,28,341
782,History,36,341
783,War,10752,341
784,Action,28,1523
785,Adventure,12,1523
786,Drama,18,1523
787,Science Fiction,878,2636
788,Action,28,2636
789,Adventure,12,2636
790,Fantasy,14,2636
791,Comedy,35,2636
792,Science Fiction,878,5751
793,Thriller,53,5751
794,Drama,18,5751
795,Action,28,428
796,Adventure,12,428
797,Thriller,53,428
798,Fantasy,14,963
799,Action,28,963
800,Adventure,12,963
801,Comedy,35,963
802,Action,28,2278
803,Adventure,12,2278
804,Science Fiction,878,2278
805,Action,28,2862
806,Adventure,12,2862
807,Comedy,35,2862
808,Family,10751,2862
809,Fantasy,14,2862
810,Action,28,2968
811,Drama,18,2968
812,Thriller,53,2968
813,Adventure,12,925
814,Action,28,925
815,Thriller,53,925
816,Drama,18,1099
817,History,36,1099
818,War,10752,1099
819,Action,28,1099
820,Thriller,53,2124
821,Crime,80,2124
822,Action,28,2965
823,Comedy,35,2965
824,Drama,18,2965
825,Thriller,53,2965
826,Adventure,12,3829
827,Science Fiction,878,3829
828,Thriller,53,3829
829,Drama,18,1489
830,Comedy,35,621
831,Action,28,1251
832,Crime,80,1251
833,Comedy,35,1251
834,Action,28,2397
835,War,10752,2397
836,Animation,16,1179
837,Family,10751,1179
838,Adventure,12,1179
839,Comedy,35,1179
840,Fantasy,14,1179
841,Animation,16,389
842,Family,10751,389
843,Adventure,12,1998
844,Science Fiction,878,1998
845,Action,28,2692
846,Science Fiction,878,2692
847,Drama,18,2692
848,Fantasy,14,695
849,Family,10751,695
850,Comedy,35,695
851,Animation,16,695
852,Action,28,434
853,Adventure,12,434
854,Thriller,53,434
855,Science Fiction,878,2303
856,Action,28,2303
857,Adventure,12,2303
858,Action,28,2089
859,Thriller,53,2089
860,Adventure,12,8705
861,Fantasy,14,8705
862,Action,28,8705
863,Action,28,672
864,Adventure,12,672
865,Comedy,35,672
866,Drama,18,447
867,Comedy,35,366
868,Fantasy,14,366
869,Family,10751,366
870,Action,28,3793
871,Science Fiction,878,3793
872,Drama,18,1157
873,Action,28,1157
874,Adventure,12,1157
875,History,36,1157
876,War,10752,1157
877,Animation,16,959
878,Fantasy,14,959
879,Family,10751,959
880,Comedy,35,959
881,Romance,10749,1247
882,Family,10751,1247
883,Animation,16,1247
884,Music,10402,1247
885,Drama,18,7268
886,Adventure,12,7268
887,Science Fiction,878,7268
888,Action,28,1770
889,Thriller,53,1770
890,Science Fiction,878,1770
891,Adventure,12,1770
892,Comedy,35,16
893,Romance,10749,16
894,Action,28,1485
895,Crime,80,1485
896,Thriller,53,1485
897,Action,28,5439
898,Drama,18,5439
899,Adventure,12,5439
900,Action,28,2608
901,Thriller,53,2608
902,Science Fiction,878,2608
903,Mystery,9648,2608
904,Adventure,12,5815
905,Fantasy,14,5815
906,Family,10751,5815
907,Adventure,12,3855
908,Action,28,3855
909,Thriller,53,3855
910,Thriller,53,1243
911,Science Fiction,878,1243
912,Action,28,1243
913,Adventure,12,1243
914,Action,28,4185
915,Thriller,53,4185
916,Science Fiction,878,4185
917,History,36,1344
918,Crime,80,1344
919,Drama,18,1344
920,Drama,18,1502
921,Crime,80,1502
922,Action,28,1116
923,Thriller,53,1116
924,Thriller,53,954
925,Drama,18,954
926,Crime,80,954
927,Comedy,35,1060
928,Romance,10749,1060
929,Action,28,1383
930,Comedy,35,1383
931,Crime,80,1383
932,Action,28,543
933,Drama,18,543
934,Mystery,9648,543
935,Thriller,53,543
936,Drama,18,10099
937,Western,37,10099
938,Drama,18,1129
939,Animation,16,1129
940,Family,10751,1129
941,Adventure,12,1490
942,Animation,16,1490
943,Comedy,35,1490
944,Family,10751,1490
945,Fantasy,14,1490
946,Action,28,2896
947,Adventure,12,2896
948,Thriller,53,2896
949,Adventure,12,1926
950,Action,28,1926
951,Thriller,53,1926
952,Mystery,9648,1926
953,Fantasy,14,967
954,Action,28,967
955,Adventure,12,967
956,Family,10751,967
957,Family,10751,572
958,Fantasy,14,572
959,Animation,16,1121
960,Adventure,12,1121
961,Family,10751,1121
962,Fantasy,14,1121
963,Action,28,1699
964,Thriller,53,1699
965,Romance,10749,1699
966,Action,28,482
967,Fantasy,14,482
968,Horror,27,482
969,Mystery,9648,482
970,Drama,18,2281
971,Thriller,53,2281
972,Action,28,2281
973,Crime,80,6571
974,Drama,18,6571
975,Comedy,35,6571
976,Action,28,1498
977,Crime,80,1498
978,Fantasy,14,1498
979,Adventure,12,1560
980,Action,28,1560
981,Thriller,53,1560
982,Science Fiction,878,1560
983,Drama,18,2977
984,Science Fiction,878,2977
985,Animation,16,703
986,Adventure,12,703
987,Family,10751,703
988,Fantasy,14,703
989,Action,28,808
990,Crime,80,808
991,Action,28,1680
992,Adventure,12,1680
993,Adventure,12,948
994,Animation,16,948
995,Family,10751,948
996,Fantasy,14,948
997,Science Fiction,878,948
998,Adventure,12,381
999,Comedy,35,381
1000,Science Fiction,878,381
1001,Action,28,1795
1002,Adventure,12,1795
1003,Thriller,53,1795
1004,Action,28,783
1005,Crime,80,783
1006,Thriller,53,783
1007,Fantasy,14,338
1008,Comedy,35,338
1009,Family,10751,338
1010,Adventure,12,338
1011,Thriller,53,1276
1012,Drama,18,1276
1013,Adventure,12,1276
1014,Action,28,1276
1015,History,36,1276
1016,Action,28,142
1017,Comedy,35,142
1018,Science Fiction,878,142
1019,War,10752,717
1020,Action,28,717
1021,Adventure,12,717
1022,Drama,18,717
1023,Thriller,53,717
1024,Animation,16,604
1025,Crime,80,73
1026,Drama,18,73
1027,Mystery,9648,73
1028,Thriller,53,73
1029,Adventure,12,2206
1030,Action,28,2206
1031,Fantasy,14,2206
1032,Drama,18,1910
1033,History,36,1910
1034,Crime,80,1910
1035,Drama,18,187
1036,History,36,187
1037,War,10752,187
1038,Animation,16,601
1039,Comedy,35,601
1040,Family,10751,601
1041,Action,28,334
1042,Comedy,35,334
1043,Science Fiction,878,334
1044,Action,28,1811
1045,History,36,1811
1046,War,10752,1811
1047,Comedy,35,578
1048,Adventure,12,3885
1049,Fantasy,14,3885
1050,Action,28,3885
1051,Thriller,53,3885
1052,Science Fiction,878,3885
1053,Comedy,35,426
1054,Drama,18,426
1055,Romance,10749,426
1056,Adventure,12,858
1057,Animation,16,858
1058,Comedy,35,858
1059,Family,10751,858
1060,Animation,16,2672
1061,Comedy,35,2672
1062,Adventure,12,2672
1063,Family,10751,2672
1064,Romance,10749,2374
1065,Fantasy,14,2374
1066,Family,10751,2374
1067,Drama,18,2374
1068,Fantasy,14,1065
1069,Drama,18,1065
1070,Animation,16,6122
1071,Family,10751,6122
1072,Adventure,12,8064
1073,Fantasy,14,8064
1074,Action,28,8064
1075,Adventure,12,7487
1076,Fantasy,14,7487
1077,Action,28,7487
1078,Adventure,12,957
1079,Fantasy,14,957
1080,Adventure,12,2192
1081,Fantasy,14,2192
1082,Action,28,2192
1083,Thriller,53,2192
1084,Thriller,53,2295
1085,Science Fiction,878,2295
1086,Drama,18,2295
1087,Mystery,9648,2295
1088,Adventure,12,2077
1089,Action,28,2077
1090,Thriller,53,2077
1091,Science Fiction,878,2077
1092,Thriller,53,4347
1093,Action,28,4347
1094,Drama,18,4347
1095,Science Fiction,878,4347
1096,Adventure,12,572
1097,Family,10751,572
1098,Fantasy,14,572
1099,Action,28,3493
1100,Thriller,53,3493
1101,Western,37,106
1102,History,36,106
1103,War,10752,106
1104,Action,28,5152
1105,Adventure,12,5152
1106,Animation,16,5152
1107,Family,10751,5152
1108,Action,28,136
1109,Adventure,12,136
1110,Adventure,12,2010
1111,Fantasy,14,2010
1112,Family,10751,2010
1113,Action,28,4412
1114,Adventure,12,4412
1115,Comedy,35,4412
1116,Science Fiction,878,4412
1117,Animation,16,3806
1118,Comedy,35,3806
1119,Family,10751,3806
1120,Action,28,1165
1121,Thriller,53,1165
1122,Action,28,1054
1123,Comedy,35,1054
1124,Crime,80,1054
1125,Thriller,53,1054
1126,Drama,18,488
1127,Horror,27,488
1128,Mystery,9648,488
1129,Thriller,53,488
1130,Animation,16,1747
1131,Comedy,35,1747
1132,Family,10751,1747
1133,Animation,16,2271
1134,Comedy,35,2271
1135,Family,10751,2271
1136,Adventure,12,2271
1137,Adventure,12,3144
1138,Comedy,35,3144
1139,Drama,18,3144
1140,Fantasy,14,3144
1141,Action,28,1232
1142,Adventure,12,1232
1143,Comedy,35,1232
1144,Crime,80,1232
1145,Thriller,53,1232
1146,Drama,18,4339
1147,Thriller,53,4339
1148,Crime,80,4339
1149,Animation,16,2008
1150,Family,10751,2008
1151,Adventure,12,2008
1152,Action,28,1667
1153,Comedy,35,1667
1154,Thriller,53,2434
1155,Crime,80,2434
1156,Mystery,9648,2434
1157,Drama,18,2434
1158,Action,28,2066
1159,Thriller,53,2066
1160,Action,28,5766
1161,Adventure,12,5766
1162,Crime,80,5766
1163,Mystery,9648,5766
1164,Drama,18,621
1165,Animation,16,1224
1166,Family,10751,1224
1167,Adventure,12,1224
1168,Science Fiction,878,1224
1169,Adventure,12,428
1170,Animation,16,428
1171,Comedy,35,428
1172,Family,10751,428
1173,Drama,18,1173
1174,Thriller,53,1173
1175,History,36,1173
1176,War,10752,1173
1177,Comedy,35,1048
1178,Action,28,1048
1179,Action,28,2513
1180,Comedy,35,2513
1181,Science Fiction,878,2513
1182,Drama,18,1974
1183,Science Fiction,878,1974
1184,Adventure,12,1974
1185,Thriller,53,466
1186,Fantasy,14,466
1187,Comedy,35,466
1188,Family,10751,466
1189,Mystery,9648,466
1190,Drama,18,1308
1191,Science Fiction,878,1308
1192,Mystery,9648,1308
1193,Action,28,634
1194,Science Fiction,878,634
1195,Thriller,53,634
1196,Crime,80,392
1197,Thriller,53,392
1198,Adventure,12,1648
1199,Family,10751,1648
1200,Fantasy,14,1648
1201,Action,28,1418
1202,Adventure,12,1418
1203,Fantasy,14,1418
1204,Thriller,53,1418
