(104, 56, 135397, 6.5)
(105, 923, 135397, 6.5)
(106, 3341, 135397, 6.5)
(107, 6452, 135397, 6.5)
(108, 5, 37724, 6.9)
(109, 5, 558, 6.7)
(110, 326, 558, 6.7)
(111, 19551, 558, 6.7)
(112, 420, 68721, 6.8)
(113, 2, 12155, 6.4)
(114, 598, 12155, 6.4)
(115, 8601, 12155, 6.4)
(116, 16314, 12155, 6.4)
(117, 20004, 12155, 6.4)
(118, 289, 36668, 6.3)
(119, 306, 36668, 6.3)
(120, 431, 36668, 6.3)
(121, 444, 36668, 6.3)
(122, 445, 36668, 6.3)
(123, 9168, 36668, 6.3)
(124, 12247, 36668, 6.3)
(125, 19551, 36668, 6.3)
(126, 79028, 36668, 6.3)
(127, 79029, 36668, 6.3)
(128, 79030, 36668, 6.3)
(129, 2, 62211, 7.0)
(130, 3, 62211, 7.0)
(131, 4, 8373, 6.0)
(132, 27, 8373, 6.0)
(133, 56, 8373, 6.0)
(134, 435, 8373, 6.0)
(135, 2481, 8373, 6.0)
(136, 22826, 8373, 6.0)
(137, 76043, 8373, 6.0)
(138, 4, 91314, 5.8)
(139, 56, 91314, 5.8)
(140, 435, 91314, 5.8)
(141, 2481, 91314, 5.8)
(142, 11413, 91314, 5.8)
(143, 22826, 91314, 5.8)
(144, 38833, 91314, 5.8)
(145, 76043, 91314, 5.8)
(146, 2, 68728, 5.7)
(147, 16314, 68728, 5.7)
(148, 5, 102382, 6.5)
(149, 19551, 102382, 6.5)
(150, 31828, 102382, 6.5)
(151, 53462, 102382, 6.5)
(152, 2, 20526, 6.3)
(153, 7161, 20526, 6.3)
(154, 18713, 20526, 6.3)
(155, 23791, 20526, 6.3)
(156, 76043, 20526, 6.3)
(157, 76067, 20526, 6.3)
(158, 2, 49013, 5.8)
(159, 3, 49013, 5.8)
(160, 2609, 44912, 5.1)
(161, 6194, 44912, 5.1)
(162, 9993, 44912, 5.1)
(163, 2, 10193, 7.6)
(164, 3, 10193, 7.6)
(165, 5, 534, 5.9)
(166, 4021, 534, 5.9)
(167, 4022, 534, 5.9)
(168, 6194, 534, 5.9)
(169, 33, 168259, 7.3)
(170, 333, 168259, 7.3)
(171, 3341, 168259, 7.3)
(172, 6452, 168259, 7.3)
(173, 7154, 168259, 7.3)
(174, 40890, 168259, 7.3)
(175, 86352, 168259, 7.3)
(176, 86655, 168259, 7.3)
(177, 87857, 168259, 7.3)
(178, 87858, 168259, 7.3)
(179, 4, 72190, 6.7)
